id,friends
1,1
2,0
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,1
51,1
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,0
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,0
105,1
106,0
107,0
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,0
162,1
163,1
164,1
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,1
188,1
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,1
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,1
218,0
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,0
267,1
268,0
269,1
270,1
271,1
272,0
273,1
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,1
282,0
283,0
284,1
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,0
294,0
295,0
296,1
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,1
314,0
315,1
316,0
317,0
318,1
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,1
328,1
329,0
330,1
331,1
332,0
333,1
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,1
342,0
343,1
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,1
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,1
363,1
364,1
365,1
366,0
367,0
368,1
369,1
370,0
371,1
372,0
373,1
374,0
375,1
376,1
377,0
378,1
379,1
380,0
381,1
382,1
383,0
384,0
385,0
386,1
387,1
388,0
389,1
390,0
391,0
392,0
393,1
394,0
395,0
396,1
397,0
398,1
399,0
400,0
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,0
420,1
421,0
422,1
423,1
424,0
425,1
426,1
427,0
428,0
429,0
430,1
431,0
432,0
433,1
434,1
435,1
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,1
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,1
467,0
468,0
469,1
470,1
471,1
472,1
473,0
474,1
475,0
476,1
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,0
485,0
486,1
487,0
488,1
489,1
490,0
491,1
492,1
493,0
494,1
495,0
496,1
497,0
498,0
499,0
500,1
501,1
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,1
510,1
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,1
521,1
522,0
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,1
533,0
534,1
535,1
536,0
537,0
538,0
539,0
540,1
541,0
542,1
543,0
544,0
545,1
546,0
547,1
548,0
549,0
550,1
551,0
552,0
553,1
554,1
555,0
556,0
557,1
558,1
559,0
560,1
561,1
562,1
563,0
564,1
565,1
566,0
567,0
568,1
569,1
570,1
571,1
572,0
573,1
574,0
575,1
576,1
577,0
578,1
579,1
580,0
581,0
582,1
583,1
584,1
585,0
586,1
587,1
588,1
589,0
590,1
591,0
592,1
593,1
594,0
595,1
596,1
597,1
598,1
599,0
600,0
601,0
602,0
603,0
604,1
605,1
606,1
607,1
608,0
609,0
610,1
611,0
612,1
613,1
614,1
615,1
616,0
617,1
618,1
619,1
620,0
621,0
622,0
623,1
624,1
625,1
626,0
627,1
628,0
629,0
630,0
631,0
632,0
633,0
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,1
645,0
646,1
647,1
648,0
649,0
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,0
665,1
666,0
667,1
668,1
669,0
670,0
671,1
672,0
673,1
674,0
675,1
676,1
677,0
678,0
679,0
680,0
681,0
682,1
683,1
684,0
685,1
686,1
687,1
688,1
689,0
690,1
691,0
692,1
693,0
694,1
695,0
696,1
697,0
698,0
699,0
700,0
701,1
702,1
703,0
704,1
705,1
706,1
707,0
708,0
709,0
710,1
711,0
712,1
713,1
714,1
715,1
716,0
717,0
718,1
719,0
720,1
721,1
722,1
723,0
724,0
725,0
726,1
727,1
728,1
729,1
730,0
731,1
732,0
733,1
734,0
735,1
736,0
737,1
738,1
739,1
740,0
741,0
742,0
743,1
744,1
745,0
746,0
747,1
748,0
749,0
750,1
751,1
752,1
753,0
754,0
755,1
756,1
757,1
758,1
759,1
760,0
761,0
762,1
763,1
764,1
765,0
766,0
767,0
768,1
769,1
770,1
771,0
772,1
773,1
774,1
775,1
776,1
777,0
778,0
779,1
780,1
781,0
782,0
783,0
784,0
785,1
786,0
787,1
788,0
789,1
790,0
791,1
792,0
793,1
794,1
795,1
796,1
797,0
798,1
799,0
800,0
801,1
802,1
803,0
804,0
805,1
806,1
807,1
808,0
809,1
810,0
811,0
812,1
813,0
814,1
815,1
816,1
817,1
818,1
819,0
820,1
821,1
822,0
823,1
824,0
825,0
826,0
827,0
828,1
829,0
830,0
831,0
832,1
833,0
834,0
835,1
836,1
837,0
838,1
839,0
840,0
841,1
842,0
843,1
844,1
