id,coauthors
1,1
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,0
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,1
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,0
62,0
63,0
64,1
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,0
163,0
164,0
165,0
166,1
167,0
168,1
169,0
170,1
171,1
172,0
173,0
174,0
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,1
190,1
191,0
192,0
193,0
194,1
195,0
196,1
197,1
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,1
213,1
214,1
215,0
216,1
217,0
218,0
219,1
220,0
221,1
222,0
223,0
224,1
225,0
226,1
227,0
228,1
229,1
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,0
257,1
258,1
259,1
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,1
283,0
284,1
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,0
293,0
294,1
295,1
296,0
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,1
311,0
312,0
313,0
314,0
315,1
316,1
317,1
318,0
319,0
320,1
321,0
322,1
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,0
339,0
340,1
341,0
342,0
343,0
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,0
369,1
370,1
371,0
372,1
373,0
374,0
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,0
386,0
387,0
388,1
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,0
397,0
398,1
399,0
400,1
401,1
402,1
403,0
404,0
405,1
406,1
407,1
408,0
409,0
410,0
411,0
412,1
413,1
414,1
415,1
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,0
424,1
425,1
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,1
435,1
436,0
437,1
438,0
439,0
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,0
448,1
449,0
450,0
451,0
452,1
453,0
454,0
455,1
456,1
457,0
458,0
459,1
460,0
461,1
462,1
463,0
464,1
465,0
466,1
467,1
468,1
469,0
470,1
471,1
472,0
473,0
474,1
475,1
476,0
477,1
478,1
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,0
506,0
507,1
508,1
509,0
510,1
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,1
532,0
533,1
534,1
535,1
536,0
537,1
538,1
539,1
540,1
541,0
542,1
543,0
544,1
545,0
546,1
547,0
548,1
549,1
550,0
551,1
552,1
553,0
554,1
555,1
556,0
557,0
558,0
559,1
560,1
561,1
562,1
563,0
564,1
565,0
566,0
567,0
568,1
569,0
570,1
571,1
572,0
573,0
574,0
575,0
576,0
577,1
578,0
579,1
580,0
581,0
582,0
583,0
584,0
585,1
586,1
587,1
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,1
597,1
598,0
599,0
600,0
601,0
602,1
603,1
604,0
605,1
606,0
607,0
608,1
609,0
610,0
611,1
612,0
613,1
614,0
615,1
616,0
617,1
618,0
619,1
620,1
621,1
622,1
623,0
624,0
625,0
626,1
627,0
628,1
629,0
630,1
631,1
632,0
633,0
634,1
635,0
636,1
637,0
638,1
639,1
640,1
641,0
642,1
643,1
644,0
645,0
646,0
647,1
648,0
649,0
650,1
651,0
652,1
653,1
654,0
655,0
656,1
657,1
658,1
659,0
660,0
661,0
662,1
663,1
664,1
665,1
666,1
667,1
668,0
669,1
670,0
671,0
672,1
673,0
674,1
675,0
676,0
677,0
678,1
679,1
680,1
681,0
682,0
683,1
684,0
685,0
686,0
687,1
688,0
689,1
690,1
691,0
692,1
693,1
694,0
695,0
696,0
697,1
698,0
699,1
700,1
701,1
702,0
703,0
704,0
705,1
706,0
707,1
708,1
709,1
710,0
711,0
712,1
713,1
714,1
715,0
716,0
717,0
718,1
719,0
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,1
729,1
730,1
731,0
732,0
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,1
741,1
742,1
743,0
744,1
745,0
746,0
747,0
748,0
749,1
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,0
759,1
760,0
761,0
762,0
763,0
764,1
765,1
766,1
767,0
768,0
769,1
770,1
771,0
772,0
773,1
774,1
775,1
776,0
777,1
778,0
779,0
780,1
781,1
782,1
783,0
784,0
785,0
786,1
787,0
788,1
789,0
790,1
791,1
792,1
793,1
794,0
795,0
796,1
797,1
798,0
799,1
800,0
801,1
802,0
803,0
804,1
805,0
806,1
807,1
808,0
809,1
810,1
811,1
812,0
813,1
814,0
815,1
816,0
817,0
818,1
819,1
820,1
821,0
822,1
823,1
824,0
825,0
826,1
827,0
828,1
829,1
830,0
831,0
832,0
833,0
834,0
835,1
836,0
837,0
838,1
839,1
840,0
841,1
842,0
843,0
